ID,Submission Year,Report Submission Title,Submission Year File Number,Date,Link,pdf_file,Company Name,text_file,Securities Done,Insiders Done,Third Party Providers Done,Transfer Agents Done,Financial Statements Done,Additional Securities Done,Reporting Year,file,Reporting Year/Period
EBML,2021,Annual Report - Amendment No. 1,1,10/07/2021,https://www.otcmarkets.com/otcapi/company/financial-report/306042/content,EBML_2021_Annual_1.pdf,EBULLION INC,EBML_2021_Annual_1.txt,-3,0,1,1,0,-3,0,EBML_2021_Annual_1.txt," March 31, 2021"
EBML,2021,Annual Report - Amendment No. 1,2,10/07/2021,https://www.otcmarkets.com/otcapi/company/financial-report/306041/content,EBML_2021_Annual_2.pdf,EBULLION INC,EBML_2021_Annual_2.txt,-3,0,1,1,0,-3,0,EBML_2021_Annual_2.txt," March 31, 2020"
EBML,2021,Annual Report - Annual Report,3,09/20/2021,https://www.otcmarkets.com/otcapi/company/financial-report/303040/content,EBML_2021_Annual_3.pdf,EBULLION INC,EBML_2021_Annual_3.txt,-3,0,1,-2,0,-3,0,EBML_2021_Annual_3.txt," March 31, 2021"
EBML,2021,Annual Report - Annual Report,4,09/20/2021,https://www.otcmarkets.com/otcapi/company/financial-report/303039/content,EBML_2021_Annual_4.pdf,EBULLION INC,EBML_2021_Annual_4.txt,-3,0,1,-2,0,-3,0,EBML_2021_Annual_4.txt," March 31, 2020"
EBML,2022,Annual Report - Amendment No. 1,1,08/01/2022,https://www.otcmarkets.com/otcapi/company/financial-report/341042/content,EBML_2022_Annual_1.pdf,EBULLION INC,EBML_2022_Annual_1.txt,-1,0,-1,-1,0,-1,0,EBML_2022_Annual_1.txt," March 31, 2022"
EBML,2022,Annual Report - Annual Report,2,07/25/2022,https://www.otcmarkets.com/otcapi/company/financial-report/340219/content,EBML_2022_Annual_2.pdf,EBULLION INC,EBML_2022_Annual_2.txt,-1,0,-1,-1,0,-1,0,EBML_2022_Annual_2.txt," March 31, 2022"
ECEZ,2021,Annual Report - Amended Disclosure Statement 2021,1,11/12/2021,https://www.otcmarkets.com/otcapi/company/financial-report/310910/content,ECEZ_2021_Annual_1.pdf,ECOSCIENCES INC,ECEZ_2021_Annual_1.txt,1,0,1,1,0,-3,0,ECEZ_2021_Annual_1.txt," May 31, 2021"
ECEZ,2021,Annual Report - Amended Disclosure Statement 2020,2,11/12/2021,https://www.otcmarkets.com/otcapi/company/financial-report/310908/content,ECEZ_2021_Annual_2.pdf,ECOSCIENCES INC,ECEZ_2021_Annual_2.txt,1,0,1,1,0,-3,0,ECEZ_2021_Annual_2.txt," May 31, 2020"
ECEZ,2021,Annual Report - Financial Statements 2021,3,09/02/2021,https://www.otcmarkets.com/otcapi/company/financial-report/299033/content,ECEZ_2021_Annual_3.pdf,ECOSCIENCES INC,ECEZ_2021_Annual_3.txt,-1,0,-1,-1,0,-1,0,ECEZ_2021_Annual_3.txt,-1
ECEZ,2021,Annual Report - Amended Disclosure Statement2021,4,09/02/2021,https://www.otcmarkets.com/otcapi/company/financial-report/300614/content,ECEZ_2021_Annual_4.pdf,ECOSCIENCES INC,ECEZ_2021_Annual_4.txt,1,0,1,1,0,-3,0,ECEZ_2021_Annual_4.txt," May 31, 2021"
