Other Flag,Trading symbol,Exact title and class of securities outstanding,CUSIP,Par/stated value,Total shares authorized,Authorized Date,Total shares oustanding,Outstanding Date,Number of shares in the Public Float, Public float Date,Total number of shareholders of Record,Shareholders Date,ID,Submission Year,Submission Year File Number,file,Link
True, BSTK, preferred, 11041N206, 01," 20,000,000 ", 12/31/2019, 0 , 12/31/2019,None,None,None,None,BSTK,2021,2,BSTK_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301214/content
True, BSTK, PREFERRED, 11041N206, 01," 20,000,000 ", 12/31/2021, ) , 12/31/2021,None,None,None,None,BSTK,2022,1,BSTK_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/317660/content
True, N/A, Series A participating preferred stock, N/A, $0.01," 100,000 ", 12/31/20, 0 , 12/31/20,None,None,None,None,BXLC,2021,1,BXLC_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302783/content
True, N/A, Series A participating preferred stock, N/A, $0.01," 100,000 ", 12/31/21, 0 , 12/31/21,None,None,None,None,BXLC,2022,1,BXLC_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/326017/content
True, None, None, None,, ,, 0 ,,None,None,None,None,CAFS,2021,1,CAFS_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/297251/content
True, None, None, None,, ,, 0 ,,None,None,None,None,CAFS,2021,2,CAFS_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/293903/content
True, None, None, None,, 0 ,, 0 ,,None,None,None,None,CAFS,2022,1,CAFS_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/349895/content
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001, 0 , 12/31/2020, 0 , 12/31/2020,None,None,None,None,CAMG,2021,6,CAMG_2021_Annual_6.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302946/content
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001, 0 , 12/31/2019, 0 , 12/31/2019,None,None,None,None,CAMG,2021,7,CAMG_2021_Annual_7.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302945/content
True, N/A,,,, ,, ,,None,None,None,None,CBIA,2022,2,CBIA_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/353360/content
